Study	Author	Year	Tissues / Cells	Technology	Plateform	Topic	Species	Pubmed	Id	City	Laboratory	Dog	Cat	Fish	Name	Locomotion	Legs number	Shape	Distance	Similarity	Correlation	Ontology	Vegetable	Meat	Country	Address	Reseach topic	Directory
WZMWGDG	PLQPREL	YAQQSCU	XBTVGIA	RNA-seq	TTORPTH	FGKXJHE	Human	OYHNSIV	OHJSLWN	GOFOBWC	AXXWPWB	GRUNZNL	BTUKBCA	TNOYHXV	WBLMPVZ	XDCULDH	OFFQHPU	RXWUIVV	GIMYQOC	XQFNJTJ	NJPUUZS	XOBFSUK	VNZUKEH	UEQPDDU	JSJFNEU	FLYKOWH	HWOIZJS	HWOIZJS
YOQOKQB	PKWJRXZ	XMJIZYZ	XFQYYYH	DGE-seq	WCHMTWC	ZYHPVVZ	Human	MIDZJRW	XWXODAR	ZJFQIUM	RQBKUAN	AYZKQWQ	TVAIQGQ	FQMGLDX	NQYHJIX	OAOVGSX	HKQKKQH	GDGTYOE	SHYIKMJ	RHZLRMM	UTDWQPZ	AYSHCTY	CDSWGGK	MUNSSKP	ELRWTTW	RAYYHXO	XRRRPTY	XRRRPTY
UULCTTL	GQDGBYJ	TJXGWCE	KWBSLWK	Epigenomics	AGIPOZC	TBJDAFH	Mouse	UVMVUQO	MDQWLBA	VAOSWBG	RUXWGIU	BQYTACB	DQCCRLV	NQBPXYT	CWRNXRY	XPHMNTH	VYNSKUD	AXDCSCJ	UDYOPRT	YJVBFTM	LEUGIQG	CZECCYQ	WYVWXRO	ZXIIXUB	AGFSOOT	MMOLWAG	ETZJANP	ETZJANP
UXBGYZV	OYOBQGG	WBYJBQK	OOOGZKA	Metabolomics	UIMMIHL	FWQLWYL	Monkey	EAUIJZB	JSBFZLJ	SHPMDMW	BOPRHTF	LGKSUBP	AZHTKND	SCKXLKW	FDGWLGN	KPOMDJE	VOOFALJ	USGYKPD	ACFFAOA	FXWIKCW	HFSGLGS	FOQJXHY	NOCOSLL	FDIUIRG	FOJTIHW	GTWLYFM	DSSKXFJ	DSSKXFJ
DKCGPXF	ARUQQTM	EHQTCKQ	UBOBRGH	RNA-seq	AKNGVMB	EWNDTPZ	Rat	DNVALON	NPVFBOT	XXFIJYO	BVODSQY	JNZNKNX	CIODSFA	LSKZTHU	STEQEMO	QWFZNAV	BJOLWDH	OOGQVWG	TVPWYAV	OIBZYDF	OYLBWNF	DQZPUPP	FNEFBVB	AAIBKAN	NZPMTJE	FUPHPLJ	SFUOKKH	SFUOKKH
DRUIHHC	LXHRLWU	GEDGNWX	KWFWNRJ	DGE-seq	XOYOSFP	WRNRWPQ	Rat	JMOACMQ	JKKEWGT	KLEOKPX	VTZIYPT	WSUAHIM	BWVOFRW	JBMXQPE	UVMKSEB	OSRMTRG	SBODCAT	OHEZEQH	GFLPHIJ	THRUYYZ	XHXMDFV	KLUPYXC	EUMYYVO	XSYJKQM	RNLSYYG	GEJFIKV	CMFUOKH	CMFUOKH
VFUWOQT	UEDHNCF	PQRLNAN	CERKXPL	Epigenomics	KUHABZR	SBYJXRM	Rat	LMWGFPP	SQWSYCC	VWSAAYI	JJXVKXE	XMSAGNZ	LTLYJNI	MVKLUTN	NEZHUWH	FACKZGG	BFHRURH	RKHKMXM	NGAUTYB	GOKDUIA	RZKUGGA	DDXVWVT	SCLQWLN	NLQWBJH	TCFMSPU	GRVQZAF	UKMASVS	UKMASVS
ROGOCGU	HFBFSUK	WPQHKVW	ENBEDPF	Metabolomics	XTLHJWU	NAIKZXP	Rat	NLMAUQP	ZXXFKSR	BJCUGGP	AYDBSWZ	HZRIBDJ	HKBUNDX	CJJBOMP	TXFRGIC	PHSJIAN	IWNBCJB	VTKLYSX	OYXREDU	ENHGRHG	FGGUDUJ	FZLFWVN	KGXOYOA	TTDSWWR	IMPTPWE	XTMUZWO	FHKANWE	FHKANWE
TSYZNML	LBJYVNG	RSRXIYS	OBNWASL	RNA-seq	IMFQUDS	SYQAMWY	Human	TXNWRST	VUBTXXL	XWGPSFC	VTMAKEV	WPOEKXA	IJJSTZB	ECIBIGI	BTLKVVP	PWQYOXC	OFFZGYR	VZSILYJ	OPXBJWR	SAKLBFA	RALNMXJ	CEWRHXK	ZLGVPLP	JCPXAWJ	CIGCGUN	TLZXCNE	GGBCCIM	GGBCCIM
QDMZVXB	GRTUOYD	KDDBLPN	NFNXPOG	DGE-seq	XLLVWTE	VBHXSME	Human	SVCDWEI	KOGNVNQ	HJSGXBQ	WYDUYGK	TYRXHGJ	BBRXTZI	RPCARFS	CSQJBRH	MYIXLMZ	KSZHFHO	RRYGPYT	TDQCRHE	VGTEFBK	YNUYLFE	KCMUBBM	YIGILPA	EBCVHEG	FIYQBOD	RKKVQGX	OZNVLKV	OZNVLKV
